COMPANYNAME,COUNTY,ZIP,PROGRAM,ORIGINAL_ESTIMATED_VALUE,INVESTMENT,STATUS,NEW_JOBS,RETAINED_JOBS,ORIGINAL_APPROVAL_DATE,WITHHOLDING_RATE_PERCENT,PAYROLL_RATE,TERM
St. Vladimir Ukrainian Orthodox Church,Cuyahoga,,Ohio Historic Preservation Tax Credit,249999.0,N/A,Completed,N/A,N/A,12/19/2017,N/A,N/A,N/A
Overmyer Lofts,Lucas,,Ohio Historic Preservation Tax Credit,4100000.0,N/A,Servicing,N/A,N/A,12/14/2021,N/A,N/A,N/A
Engine Co. 22 Firehouse,Hamilton,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Cancelled,N/A,N/A,12/19/2017,N/A,N/A,N/A
Columbus Electric Trolley Barns,Franklin,,Ohio Historic Preservation Tax Credit,2000000.0,N/A,Servicing,N/A,N/A,06/20/2018,N/A,N/A,N/A
CBTS Technology Solutions LLC,Hamilton,,JCTC Job Creation Tax Credit,2500000.0,0.00,Cancelled,137,671,01/25/2021,N/A,2.392,9
Gwynne Building,Hamilton,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
"Arhaus, LLC",Summit,44236,JCTC Job Creation Tax Credit,802262.0,3200000.00,Servicing,162,274,01/27/2014,N/A,1.593,8
"Sedgwick Claims Management Services, Inc.",Franklin,43026,JCTC Job Creation Tax Credit,400000.0,0.00,Servicing,109,300,02/26/2018,N/A,1.310,7
"Automation & Control Technologies, LTD.",Wood,43551-4865,JCTC Job Creation Tax Credit,34365.0,2500000.00,Cancelled,17,40,03/28/2011,45.00,N/A,6
"GXO Warehouse Company, Inc.",Pickaway,43217,JCTC Job Creation Tax Credit,134000.0,1500000.00,Servicing,48,0,04/27/2015,N/A,1.186,7
"Huckberry, Inc.",Franklin,43217,JCTC Job Creation Tax Credit,318000.0,150000.00,Servicing,158,0,07/25/2016,N/A,0.900,5
"S&T Automotive America, LLC",Franklin,43123,JCTC Job Creation Tax Credit,66164.0,6500000.00,Completed,45,0,01/27/2014,N/A,0.891,6
"Stonecrop Technologies, LLC",Franklin,43123-2244,JCTC Job Creation Tax Credit,165000.0,2200000.00,Completed,50,0,04/30/2018,N/A,1.231,6
Golden Lamb,Warren,45036-1705,Ohio Historic Preservation Tax Credit,934250.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
"E-BEAM Services, Inc.",Warren,45036-8247,JCTC Job Creation Tax Credit,15074.0,7300000.00,Completed,22,21,05/24/2010,45.00,N/A,3
Venture Products Inc,Wayne,44667,JCTC Job Creation Tax Credit,700000.0,5700000.00,Servicing,121,179,12/04/2017,N/A,1.526,8
"Safecor Health, LLC",Franklin,43204-5023,JCTC Job Creation Tax Credit,131842.0,1500000.00,Completed,33,7,03/29/2010,45.00,N/A,6
Phoenix Block,Portage,44266,Ohio Historic Preservation Tax Credit,515000.0,N/A,Completed,N/A,N/A,06/26/2013,N/A,N/A,N/A
Speed Commerce Corp.,Licking,43062,JCTC Job Creation Tax Credit,489595.0,3000000.00,Completed,250,242,03/25/2013,50.00,N/A,8
Menlo Logistics Inc.,Licking,43062-9805,JCTC Job Creation Tax Credit,103107.0,3405000.00,Completed,63,24,09/24/2012,45.00,N/A,6
"LEM Products Holding, LLC",Butler,45011-9767,JCTC Job Creation Tax Credit,80206.0,625000.00,Completed,14,21,02/27/2012,40.00,N/A,3
Walkenhorst's,Butler,45011,JCTC Job Creation Tax Credit,125000.0,180000.00,Servicing,60,0,12/07/2020,N/A,1.071,6
"Illumination Works, LLC",Montgomery,45459-4240,JCTC Job Creation Tax Credit,284872.0,130000.00,Completed,28,13,12/06/2010,45.00,N/A,6
"Thirty-One Gifts, LLC",Franklin,43031,JCTC Job Creation Tax Credit,114101.0,4300000.00,Completed,75,8,04/27/2009,N/A,N/A,6
"Stakes Manufacturing, LLC",Lake,44095,JCTC Job Creation Tax Credit,1150000.0,33500000.00,Servicing,400,92,12/07/2020,N/A,1.326,8
Davis-McCrory Building,Butler,45011,Ohio Historic Preservation Tax Credit,1280159.0,N/A,Completed,N/A,N/A,11/13/2007,N/A,N/A,N/A
"MongoDB, Inc.",Franklin,,JCTC Job Creation Tax Credit,3000000.0,250000.00,Approved,284,0,06/08/2020,N/A,1.957,10
Rhodes Mansion,Cuyahoga,,Ohio Historic Preservation Tax Credit,1373109.0,N/A,Completed,N/A,N/A,12/12/2018,N/A,N/A,N/A
A. Schrader's Son of Ohio Warehouse Building,Summit,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
Urbana Lofts,Champaign,,Ohio Historic Preservation Tax Credit,211000.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
Mansfield Plumbing Products LLC,Ashland,44864,JCTC Job Creation Tax Credit,562685.0,8097749.00,Servicing,150,455,08/27/2012,60.00,N/A,8
Progressive Casualty Insurance Company,Cuyahoga,44143-2100,JCTC Job Creation Tax Credit,17400000.0,30000000.00,Servicing,900,9898,10/30/2017,N/A,2.350,12
The Lubrizol Corporation,Lake,44077-1234,JCTC Job Creation Tax Credit,108000.0,69821600.00,Servicing,24,309,03/30/2015,N/A,0.978,7
"Bluemile, Inc.",Franklin,43054-8202,JCTC Job Creation Tax Credit,518000.0,8900000.00,Completed,105,27,10/25/2010,55.00,N/A,6
"American Regent, Inc.",Franklin,43054-8730,JCTC Job Creation Tax Credit,210000.0,88500000.00,Servicing,78,282,12/04/2017,N/A,1.202,6
US Bank National Association,Delaware,43240,JCTC Job Creation Tax Credit,1150000.0,265000.00,Servicing,160,9,08/29/2016,N/A,1.500,8
Jacobson Mfg - Tiffin LLC,Seneca,44883-9275,JCTC Job Creation Tax Credit,28000.0,1979000.00,Cancelled,21,45,07/29/2013,35.00,N/A,5
zulily LLC,Franklin,43137-9304,JCTC Job Creation Tax Credit,1795912.0,2000000.00,Servicing,1080,0,12/05/2011,60.00,N/A,13
"Artiflex Manufacturing, LLC",Wayne,44691-3185,JCTC Job Creation Tax Credit,109863.0,3000000.00,Completed,50,502,04/30/2012,50.00,N/A,6
"Next Specialty Resins, Inc.",Lucas,43617,JCTC Job Creation Tax Credit,50794.0,3572000.00,Completed,25,0,03/31/2008,N/A,N/A,5
Ford Motor Company,Allen,45801-3157,JRTC-NR Job Retention Tax Credit Non-Refundable,3250000.0,47000000.00,Servicing,0,540,12/06/2010,75.00,N/A,10
Relink Medical  LLC,Summit,44087-2259,JCTC Job Creation Tax Credit,150000.0,63000.00,Servicing,30,28,12/10/2018,N/A,1.368,6
L3 Cincinnati Electronics Corporation,Warren,45040,JCTC Job Creation Tax Credit,3430000.0,19000000.00,Completed,245,767,07/30/2018,N/A,1.906,9
Tractor Supply Company,Stark,44662,JCTC Job Creation Tax Credit,1750000.0,67650000.00,Servicing,375,0,12/07/2020,N/A,1.246,10
Topre America Corporation,Clark,45503-3501,JCTC Job Creation Tax Credit,300000.0,72695000.00,Completed,285,0,04/24/2017,N/A,1.539,8
"Intermountain Electronics, Inc. of Price, Utah",Lawrence,45680,JCTC Job Creation Tax Credit,69288.0,2300000.00,Cancelled,25,0,03/26/2012,40.00,N/A,5
646 Neave Street,Hamilton,,Ohio Historic Preservation Tax Credit,244000.0,N/A,Servicing,N/A,N/A,08/05/2020,N/A,N/A,N/A
2113-2117 West 8th and 2122 Saint Michael Rear,Hamilton,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,12/17/2020,N/A,N/A,N/A
Byron W Robinson Residence,Summit,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Completed,N/A,N/A,06/26/2019,N/A,N/A,N/A
205-207 Henry,Hamilton,,Ohio Historic Preservation Tax Credit,249999.0,N/A,Servicing,N/A,N/A,06/22/2022,N/A,N/A,N/A
Wholesale Grocer,Marion,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,06/22/2022,N/A,N/A,N/A
"The Andersons, Inc.",Lucas,43537-0119,JCTC Job Creation Tax Credit,1434817.0,35000000.00,Servicing,20,636,06/27/2011,60.00,N/A,8
"Matrix Technologies, Inc.",Lucas,43537-4006,JCTC Job Creation Tax Credit,467556.0,80000.00,Completed,75,169,03/31/2014,N/A,1.358,6
Pulse Flow Technologies Inc.,Lake,44094-4135,JCTC Job Creation Tax Credit,291000.0,200000.00,Cancelled,75,2,05/23/2016,N/A,1.539,5
GrafTech International Holdings Inc,Medina,44281-9742,JCTC Job Creation Tax Credit,116269.0,10800000.00,Completed,39,0,08/27/2012,40.00,N/A,5
"Continental Carbonic Products, Inc.",Darke,45331,JCTC Job Creation Tax Credit,177750.0,12575000.00,Completed,72,0,10/25/2010,45.00,N/A,6
Stridas LLC,Hamilton,45255,JCTC Job Creation Tax Credit,190000.0,0.00,Approved,40,38,12/06/2021,N/A,1.319,7
"Vantage Point Logistics, Inc.",Franklin,43212,JCTC Job Creation Tax Credit,74000.0,0.00,Servicing,20,10,01/26/2015,N/A,0.894,5
Fine Line Graphics Corp.,Franklin,43212,JCTC Job Creation Tax Credit,68736.0,4920000.00,Cancelled,25,57,01/31/2011,40.00,N/A,5
Sanoh America Inc.,Knox,43050,JCTC Job Creation Tax Credit,96752.0,10000000.00,Completed,50,213,07/28/2008,N/A,N/A,6
"PACS Switchgear, LLC",Knox,43050,JCTC Job Creation Tax Credit,53000.0,3400000.00,Cancelled,30,60,03/30/2015,40.00,N/A,7
"Trew, LLC",,45104,JCTC Job Creation Tax Credit,3030000.0,5150000.00,Servicing,100,1,03/25/2019,N/A,2.590,9
"Fund That Flip, Inc",Cuyahoga,44113,JCTC Job Creation Tax Credit,100000.0,0.00,Servicing,152,3,07/31/2017,N/A,1.329,7
Our Lady of Mercy,Cuyahoga,44113,Ohio Historic Preservation Tax Credit,1015000.0,N/A,Completed,N/A,N/A,06/24/2014,N/A,N/A,N/A
Terminal Tower,Cuyahoga,44113,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
BoxCast Inc.,Cuyahoga,44113,JCTC Job Creation Tax Credit,385000.0,200000.00,Servicing,71,25,09/25/2017,N/A,1.100,7
Madisons & White Haines,Franklin,,Ohio Historic Preservation Tax Credit,4416157.0,N/A,Servicing,N/A,N/A,08/05/2020,N/A,N/A,N/A
Winders Motor Sales Co.,Franklin,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Completed,N/A,N/A,12/19/2019,N/A,N/A,N/A
"La Senza, Inc.",Franklin,43230-1467,JCTC Job Creation Tax Credit,567217.0,623900.00,Completed,80,0,04/26/2010,50.00,N/A,6
"Reliant Capital Solutions, LLC.",Franklin,43230-6692,JCTC Job Creation Tax Credit,99834.0,185000.00,Completed,50,48,06/29/2009,N/A,N/A,5
"Express, LLC",Franklin,43230-1467,JCTC Job Creation Tax Credit,1373818.0,8000000.00,Servicing,120,356,04/28/2008,N/A,N/A,8
Cardioinsight Technologies Inc.,Cuyahoga,44131,JCTC Job Creation Tax Credit,231320.0,480000.00,Completed,28,28,02/29/2016,N/A,1.800,5
Covia Holdings LLC,Cuyahoga,44131,JCTC Job Creation Tax Credit,1460000.0,0.00,Servicing,27,52,01/29/2018,N/A,2.609,8
"Airgas USA, LLC",Cuyahoga,44131-2317,JCTC Job Creation Tax Credit,120000.0,245000.00,Servicing,42,266,12/07/2020,N/A,1.156,6
Civic Theatre Block,Summit,44308,Ohio Historic Preservation Tax Credit,0.0,N/A,Cancelled,N/A,N/A,12/22/2011,N/A,N/A,N/A
Kaiser Building,Summit,44308,Ohio Historic Preservation Tax Credit,374415.0,N/A,Completed,N/A,N/A,06/30/2010,N/A,N/A,N/A
Standart-Simmons Hardware Company,Lucas,43604,Ohio Historic Preservation Tax Credit,2521559.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
PEERLESS TECHNOLOGIES CORPORATION,Greene,45324-2009,JCTC Job Creation Tax Credit,278072.0,170435.00,Servicing,42,15,09/28/2009,N/A,N/A,6
"Wingate Packaging, Inc.",Fayette,43160-9310,JCTC Job Creation Tax Credit,73886.0,9753405.00,Completed,30,0,07/30/2012,45.00,N/A,6
United States Carriage Company,Franklin,43215,Ohio Historic Preservation Tax Credit,1000000.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
"Eloquii Design, Inc.",Franklin,43215,JCTC Job Creation Tax Credit,557083.0,60000.00,Completed,40,6,08/25/2014,N/A,1.614,6
Micro Living at Long Street,Franklin,43215,Ohio Historic Preservation Tax Credit,1378067.0,N/A,Completed,N/A,N/A,12/16/2015,N/A,N/A,N/A
"Meggitt-USA Services, Inc.",Summit,44306-4188,JCTC Job Creation Tax Credit,95136.0,100000.00,Completed,35,0,12/06/2010,45.00,N/A,3
"Q Labs, LLC",Hamilton,45204,JCTC Job Creation Tax Credit,91157.0,8000000.00,Servicing,35,95,08/29/2016,N/A,1.064,6
Nordson Xaloy Incorporated,Mahoning,44515-2027,JCTC Job Creation Tax Credit,1385000.0,22381400.00,Servicing,143,106,10/31/2016,N/A,2.317,8
"Gabriel Brothers, Inc.",Clark,45502,JCTC Job Creation Tax Credit,6890000.0,28500000.00,Servicing,833,0,10/04/2021,N/A,1.488,10
"KCI Holding USA, Inc.",Clark,45502-9339,JCTC Job Creation Tax Credit,166527.0,3550000.00,Completed,34,178,05/19/2008,N/A,N/A,6
SELECTTECH SERVICES CORPORATION,Clark,45502,JCTC Job Creation Tax Credit,464844.0,3000000.00,Completed,100,0,10/27/2008,N/A,N/A,6
"SJN DATA CENTER, LLC",Hamilton,45212,JCTC Job Creation Tax Credit,4000000.0,16300000.00,Servicing,165,29,12/05/2016,N/A,2.500,9
STERIS Corporation,Lake,44060-1873,JCTC Job Creation Tax Credit,555725.0,4000000.00,Servicing,71,281,04/26/2010,45.00,N/A,10
Erie Terminal,Mahoning,44503,Ohio Historic Preservation Tax Credit,2574695.0,N/A,Completed,N/A,N/A,03/13/2008,N/A,N/A,N/A
Lazarus House Apartments,Franklin,43215,Ohio Historic Preservation Tax Credit,46195.0,N/A,Completed,N/A,N/A,12/20/2012,N/A,N/A,N/A
LeVeque Tower,Franklin,43215,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Completed,N/A,N/A,06/26/2012,N/A,N/A,N/A
620-30 East Broad,Franklin,43215,Ohio Historic Preservation Tax Credit,313145.0,N/A,Completed,N/A,N/A,06/26/2012,N/A,N/A,N/A
Colony Theater,Washington,45750,Ohio Historic Preservation Tax Credit,2103631.0,N/A,Completed,N/A,N/A,03/13/2008,N/A,N/A,N/A
"NetJets Services, Inc.",Franklin,43219-1882,JCTC Job Creation Tax Credit,11709508.0,186000000.00,Cancelled,415,909,06/30/2008,N/A,N/A,15
Lagonda Starett-Fried,Clark,,Ohio Historic Preservation Tax Credit,1250000.0,N/A,Cancelled,N/A,N/A,06/30/2021,N/A,N/A,N/A
Erieview Tower,Cuyahoga,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Servicing,N/A,N/A,08/05/2020,N/A,N/A,N/A
Crosley Building,Hamilton,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Cancelled,N/A,N/A,06/28/2016,N/A,N/A,N/A
22 W. Elder Street,Hamilton,,Ohio Historic Preservation Tax Credit,180000.0,N/A,Completed,N/A,N/A,06/20/2018,N/A,N/A,N/A
Packard Apartments,Trumbull,,Ohio Historic Preservation Tax Credit,675000.0,N/A,Cancelled,N/A,N/A,12/12/2018,N/A,N/A,N/A
1919 Vine Street,Hamilton,,Ohio Historic Preservation Tax Credit,83000.0,N/A,Completed,N/A,N/A,06/20/2018,N/A,N/A,N/A
Home Telephone - Journal Herald Bldgs.,Montgomery,,Ohio Historic Preservation Tax Credit,1184000.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
"Faurecia Emissions Control Systems NA, LLC",Warren,45005-1896,JCTC Job Creation Tax Credit,465293.0,849000.00,Servicing,120,329,08/25/2014,N/A,1.354,8
Modula Inc.,Warren,45005,JCTC Job Creation Tax Credit,375000.0,26500000.00,Servicing,100,0,03/25/2019,N/A,1.520,7
"Valued Relationships, Inc.",Warren,45005,JCTC Job Creation Tax Credit,367015.0,400000.00,Completed,125,134,02/27/2012,45.00,N/A,7
"NC Works, Inc.",Warren,45005-7202,JCTC Job Creation Tax Credit,109868.0,4200000.00,Completed,30,0,02/22/2010,40.00,N/A,5
"CKS Solution, Inc.",Clermont,45103-3616,JCTC Job Creation Tax Credit,53361.0,3000000.00,Completed,44,1,03/31/2008,N/A,N/A,5
Key Resin Company,Clermont,45103,JCTC Job Creation Tax Credit,28796.0,2600000.00,Servicing,23,31,12/03/2014,N/A,0.811,5
Friction Products Co.,Cuyahoga,44139-3306,JCTC Job Creation Tax Credit,46761.0,3000000.00,Completed,10,29,07/28/2008,N/A,N/A,5
The NOCO Company,Cuyahoga,44139-5473,JCTC Job Creation Tax Credit,115000.0,500000.00,Servicing,15,49,09/30/2019,N/A,1.478,6
The Kroger Co.,Cuyahoga,44146,JCTC Job Creation Tax Credit,1962000.0,70000000.00,Servicing,400,0,03/02/2022,N/A,1.551,8
American Can Building,Hamilton,45223-2634,Ohio Historic Preservation Tax Credit,4500000.0,N/A,Completed,N/A,N/A,10/16/2008,N/A,N/A,N/A
4089 Langland Street,Hamilton,45223,Ohio Historic Preservation Tax Credit,150000.0,N/A,Completed,N/A,N/A,12/18/2014,N/A,N/A,N/A
"MAC Trailer Enterprises, Inc.",Portage,44240-1818,JCTC Job Creation Tax Credit,691717.0,5200000.00,Completed,250,3,07/25/2011,55.00,N/A,7
"Le Tote, Inc.",Franklin,43125,JCTC Job Creation Tax Credit,990000.0,1000000.00,Cancelled,400,0,10/30/2017,N/A,1.261,8
Cintas Corporation No 2,Franklin,43125,JCTC Job Creation Tax Credit,145000.0,5545000.00,Servicing,69,0,12/04/2017,N/A,1.090,6
AVT Technology Solutions LLC,Franklin,43125,JCTC Job Creation Tax Credit,275000.0,665000.00,Cancelled,88,208,01/28/2019,N/A,1.349,6
Shiseido Americas Corporation,Franklin,43125-9226,JCTC Job Creation Tax Credit,213766.0,9385000.00,Servicing,75,240,06/25/2012,45.00,N/A,7
"Kenco Logistic Services, LLC",Franklin,43125,JCTC Job Creation Tax Credit,242000.0,0.00,Completed,63,0,01/25/2016,N/A,1.310,6
"Essilor Laboratories of America, Inc.",Franklin,43125-9132,JCTC Job Creation Tax Credit,409000.0,24200000.00,Servicing,118,342,10/28/2019,N/A,1.277,7
"Amazon.com.dedc, LLC",Cuyahoga,44128,JCTC Job Creation Tax Credit,7800000.0,100000000.00,Cancelled,2000,0,08/30/2017,N/A,1.350,10
Neal Terrace Apartments,Cuyahoga,44102,Ohio Historic Preservation Tax Credit,1652101.0,N/A,Completed,N/A,N/A,03/13/2008,N/A,N/A,N/A
"Sfs Intec, Inc.",Medina,44256-5966,JCTC Job Creation Tax Credit,455420.0,31500000.00,Servicing,80,75,12/10/2012,55.00,N/A,8
"Hartzell Fan, Inc.",Miami,45356,JCTC Job Creation Tax Credit,335499.0,1850000.00,Completed,27,110,02/27/2012,45.00,N/A,6
"London Computer Systems, Inc.",Hamilton,45140-9356,JCTC Job Creation Tax Credit,140083.0,1260000.00,Completed,50,37,01/28/2008,N/A,N/A,5
"Stolle Machinery Company, LLC",Montgomery,45414,JCTC Job Creation Tax Credit,106000.0,4000000.00,Servicing,40,40,06/29/2015,N/A,1.050,5
"The Heitmeyer Group, LLC",Franklin,43082,JCTC Job Creation Tax Credit,690000.0,100000.00,Servicing,60,12,05/21/2018,N/A,1.699,7
"ReConserve of Ohio, Inc.",Marion,43302,JCTC Job Creation Tax Credit,40504.0,8080000.00,Completed,16,21,04/28/2014,45.00,N/A,6
US Yachiyo Inc.,Marion,43302-1779,JCTC Job Creation Tax Credit,161283.0,20000000.00,Completed,40,175,01/30/2012,40.00,N/A,3
"SAEC/Kinetic Vision, Inc.",Hamilton,45241,JCTC Job Creation Tax Credit,66187.0,1804500.00,Completed,30,52,07/29/2013,40.00,N/A,5
"Enable Injections, Inc.",Warren,45241,JCTC Job Creation Tax Credit,3250000.0,124000000.00,Approved,257,193,10/31/2022,N/A,2.009,10
Integra LifeSciences Corporation,Hamilton,45227-1402,JCTC Job Creation Tax Credit,380379.0,2900000.00,Servicing,60,120,07/30/2012,45.00,N/A,8
"Medpace, Inc",Hamilton,45227,JCTC Job Creation Tax Credit,14167494.0,23400000.00,Servicing,411,508,09/29/2008,N/A,N/A,6
Schneller LLC,Portage,44240-7109,JCTC Job Creation Tax Credit,306986.0,5000000.00,Completed,50,155,01/30/2012,45.00,N/A,6
Hotel Ashtabula,Ashtabula,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,12/19/2019,N/A,N/A,N/A
"Ruralogic, Inc.",,,JCTC Job Creation Tax Credit,707704.0,230000.00,Cancelled,121,0,07/26/2010,60.00,N/A,8
1648 Vine Street,Hamilton,,Ohio Historic Preservation Tax Credit,152622.0,N/A,Servicing,N/A,N/A,12/17/2020,N/A,N/A,N/A
Illuminating Building,Cuyahoga,,Ohio Historic Preservation Tax Credit,5000000.0,N/A,Completed,N/A,N/A,12/19/2017,N/A,N/A,N/A
53 E. Clifton Avenue,Hamilton,,Ohio Historic Preservation Tax Credit,194000.0,N/A,Completed,N/A,N/A,06/28/2017,N/A,N/A,N/A
123 E. McMicken Ave.,Hamilton,,Ohio Historic Preservation Tax Credit,65898.22,N/A,Servicing,N/A,N/A,12/17/2020,N/A,N/A,N/A
"SAEC/Kinetic Vision, Inc.",Hamilton,,JCTC Job Creation Tax Credit,690000.0,9250000.00,Servicing,60,123,09/30/2019,N/A,1.790,8
Intelligent Decisions,Montgomery,45402-1320,JCTC Job Creation Tax Credit,181862.0,750000.00,Cancelled,30,0,08/26/2013,45.00,N/A,5
"FWT, LLC",Defiance,43526,JCTC Job Creation Tax Credit,538128.0,13640000.00,Completed,150,0,12/05/2011,50.00,N/A,6
"BEF Foods, Inc.",Allen,45804-4033,JCTC Job Creation Tax Credit,70951.0,20200000.00,Completed,100,0,07/28/2008,N/A,N/A,5
deSter Corporation,Allen,45804,JCTC Job Creation Tax Credit,225000.0,5000000.00,Servicing,70,0,09/25/2017,N/A,1.337,6
"Barbasol, LLC",Franklin,44805,JCTC Job Creation Tax Credit,97615.0,6335000.00,Servicing,67,0,05/26/2009,55.00,N/A,8
"Credit Adjustments, Inc.",Defiance,43512,JCTC Job Creation Tax Credit,201000.0,3000000.00,Servicing,80,64,08/29/2016,N/A,1.158,6
Consolidated Grain and Barge Co.,Defiance,43512,JCTC Job Creation Tax Credit,34490.0,23050000.00,Cancelled,15,0,02/27/2012,35.00,N/A,5
Defiance Metal Products Co.,Defiance,43512-2274,JCTC Job Creation Tax Credit,100339.0,2300000.00,Completed,50,527,05/23/2011,45.00,N/A,6
"Midwest Molding, Inc.",Union,43064,JCTC Job Creation Tax Credit,105000.0,7000000.00,Approved,55,99,06/28/2021,N/A,1.048,6
"Mound Laser & Photonics Center, Inc.",Montgomery,45342-1000,JCTC Job Creation Tax Credit,122669.0,5105763.00,Cancelled,35,22,10/25/2010,45.00,N/A,6
"Glassdoor, Inc.",Summit,44685-7816,JCTC Job Creation Tax Credit,250000.0,900000.00,Cancelled,40,50,12/09/2019,N/A,1.651,7
J.M. Smucker LLC,Lucas,43612-2909,JCTC Job Creation Tax Credit,75711.0,8000000.00,Completed,25,190,02/23/2009,N/A,N/A,6
"Two Labs, LLC.",Delaware,43035,JCTC Job Creation Tax Credit,580000.0,0.00,Servicing,50,59,07/27/2020,N/A,1.757,8
"ATS Ohio, Inc.",Delaware,43035,JCTC Job Creation Tax Credit,225000.0,1300000.00,Servicing,40,105,03/25/2019,N/A,1.493,7
"Xchanging, Inc.",Cuyahoga,44122-7202,JCTC Job Creation Tax Credit,4527902.0,6600000.00,Cancelled,785,210,06/29/2009,N/A,N/A,9
"Selman & Company, LLC",Cuyahoga,44124-4187,JCTC Job Creation Tax Credit,95544.0,100000.00,Completed,40,83,03/03/2014,N/A,1.098,5
"Aviva Metals, Inc. fka National Bronze & Metals, Inc.",Lorain,44055,JCTC Job Creation Tax Credit,115112.0,18752702.00,Servicing,32,40,01/28/2008,N/A,N/A,7
Republic Steel,Lorain,44055-1803,JCTC Job Creation Tax Credit,4577249.0,57240000.00,Cancelled,449,554,03/26/2012,75.00,N/A,15
"Lunarline, Inc.",Montgomery,45420,JCTC Job Creation Tax Credit,55354.0,15000.00,Servicing,15,2,06/30/2014,N/A,1.318,5
Kenexis Consulting Corporation,Franklin,,JCTC Job Creation Tax Credit,57696.0,700000.00,Completed,10,16,08/30/2010,45.00,N/A,6
Paramount Revitalization,Hamilton,,Ohio Historic Preservation Tax Credit,2000000.0,N/A,Servicing,N/A,N/A,12/14/2021,N/A,N/A,N/A
459 North High,Franklin,,Ohio Historic Preservation Tax Credit,120800.0,N/A,Completed,N/A,N/A,06/28/2016,N/A,N/A,N/A
Ohio Mutual Insurance Building,Columbiana,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,12/17/2020,N/A,N/A,N/A
Warsaw Creative Campus,Hamilton,,Ohio Historic Preservation Tax Credit,1700000.0,N/A,Servicing,N/A,N/A,06/30/2021,N/A,N/A,N/A
1223 E MAIN,Franklin,,Ohio Historic Preservation Tax Credit,191000.0,N/A,Completed,N/A,N/A,12/12/2018,N/A,N/A,N/A
135 E. Main Street,Van Wert,,Ohio Historic Preservation Tax Credit,175000.0,N/A,Servicing,N/A,N/A,06/22/2022,N/A,N/A,N/A
East Carbarn - Columbus Electric Trolley Barns,Franklin,,Ohio Historic Preservation Tax Credit,250000.0,N/A,Servicing,N/A,N/A,12/12/2018,N/A,N/A,N/A
172 South Main,Summit,,Ohio Historic Preservation Tax Credit,249999.0,N/A,Completed,N/A,N/A,06/28/2017,N/A,N/A,N/A
